depth_m,GTS_age,d13Ccarb,d18Ocarb
217.95,431.383,0.23,-4.76
218.1,431.386,0.27,-4.76
218.25,431.39,0.17,-4.41
218.4,431.393,0.15,-4.71
218.55,431.396,-0.15,-4.35
218.7,431.4,0.13,-5.19
218.85,431.403,0.41,-4.59
219,431.407,-0.09,-4.64
219.15,431.41,0.23,-4.55
219.3,431.414,0.38,-4.24
219.45,431.417,-0.32,-3.97
219.6,431.421,-0.2,-3.93
219.75,431.424,0.18,-4.77
219.9,431.428,-0.8,-4.12
220.05,431.431,0.34,-4.77
220.2,431.435,0.32,-5.03
220.35,431.438,-0.26,-3.86
220.5,431.442,0.05,-5.63
220.65,431.445,0.4,-5.18
220.8,431.448,0.13,-4.74
220.95,431.452,-0.39,-3.88
221.1,431.455,0.26,-5.2
221.25,431.459,-0.15,-4.84
221.4,431.462,0.04,-4.54
221.55,431.466,0.42,-4.65
221.7,431.469,0.39,-4.63
221.85,431.473,0.29,-4.3
222,431.476,0.54,-4.58
222.15,431.48,0.53,-4.48
222.3,431.483,0.48,-4.42
222.45,431.487,0.59,-4.57
222.6,431.49,0.64,-4.49
222.75,431.493,0.69,-4.63
222.9,431.497,0.17,-4.65
223.05,431.5,0.41,-4.93
223.2,431.504,0.45,-4.79
223.35,431.507,0.18,-5.44
223.5,431.511,0.35,-5.6
223.65,431.514,0.37,-4.82
223.8,431.518,0.58,-5.39
223.95,431.521,0.19,-4.74
224.1,431.525,0.41,-5.22
224.25,431.528,0.39,-5.11
224.4,431.532,0.54,-5.17
224.55,431.535,0.69,-4.58
224.7,431.539,0.6,-4.34
224.85,431.542,0.63,-4.67
225,431.545,0.5,-5.1
225.15,431.549,0.65,-5.21
225.3,431.552,0.69,-5.34
225.45,431.556,0.45,-5.29
225.6,431.559,-0.08,-4.17
225.75,431.563,0.95,-4.63
225.9,431.566,0.68,-5.3
226.05,431.57,-0.48,-3.75
226.2,431.573,0.47,-5.05
226.35,431.577,0.87,-4.67
226.5,431.58,0.86,-4.78
226.65,431.584,0.78,-4.67
226.8,431.587,1.12,-5.08
226.95,431.591,1.01,-5.12
227.1,431.594,0.67,-4.9
227.25,431.597,0.8,-4.54
